FID,F_id,power,ObjID,pop_densit,road,building_3,cluster_id,priority_s,a,POINT_X,POINT_Y
68,node/8550747804,tower,11249,22169.5919,1617.857849,0.000210236,0,-0.680466147,0.773094475,37742786.58,2560119.679
69,node/8550747805,tower,11250,20877.72601,1617.857849,0.000210236,0,-0.756633862,0.742571243,37742808.23,2560125.916
70,node/8550747810,tower,11255,27969.59788,1431.758341,0.000211367,0,-0.359666585,0.901650773,37743402.37,2560202.722
71,node/8550747811,tower,11256,24868.09952,1537.760718,0.000220132,0,-0.496237666,0.846921668,37743266.27,2560246.282
72,node/8550784318,tower,12367,21999.97871,1696.628784,0.000221196,0,-0.822359984,0.716232345,37743031.35,2560341.129
73,node/8550784317,tower,12366,23819.81348,1695.842977,0.000220119,0,-0.730743577,0.752946441,37742830.19,2560412.243
74,node/8550747814,tower,11259,26006.93095,1749.204915,0.000220119,0,-0.752891907,0.744070783,37742791.45,2560445.819
75,node/8550747815,tower,11260,25297.87129,1695.842977,0.000222934,0,-0.680296485,0.773162465,37742809.76,2560452.091
76,node/8550561708,tower,11143,37666.8814,1807.872406,0.000236565,0,-0.961788922,0.660357991,37742788.41,2560769.581
77,node/8550561716,tower,11151,40691.86253,1807.872406,0.000236565,0,-1.048629643,0.625557689,37742829.33,2560785.941
78,node/8550747816,tower,11261,40078.44941,1807.872406,0.000236565,0,-1.028714586,0.633538392,37742808.43,2560787.397
79,node/8550784320,tower,12369,42252.81401,1807.872406,0.000243795,0,-1.150442909,0.584757333,37742772.74,2560853.443
80,node/8550784327,tower,12376,41545.02964,1844.167806,0.000243795,0,-1.195915399,0.566534817,37742749.66,2560872.842
81,node/8550561709,tower,11144,54513.42471,1797.703735,0.000245538,0,-1.711158363,0.360057827,37742848.86,2561066.82
82,node/8550784217,tower,12365,54815.66777,1797.703735,0.000245538,0,-1.727213701,0.353623857,37742876.11,2561081.617
83,node/8550561714,tower,11149,60312.15541,1797.703735,0.000247412,0,-2.036697572,0.229602177,37742911.88,2561156.562
84,node/8550784321,tower,12370,61267.34548,1797.703735,0.000244461,0,-2.078348338,0.212911168,37742838.55,2561185.164
85,node/8550784326,tower,12375,59751.02906,1794.937598,0.000244206,0,-1.988893889,0.248758888,37742813.21,2561196.645
86,node/8550561712,tower,11147,67864.40594,1705.83548,0.000244552,0,-2.395983608,0.08562292,37742927.65,2561330.851
87,node/8550561710,tower,11145,66080.27921,1705.83548,0.000244552,0,-2.288603937,0.128653942,37742910.91,2561335.045
