a,POINT_X,POINT_Y
0.037204582556900,12618051.446299999952316,2642314.901779999956489
0.122256369772000,12618221.041500000283122,2642365.810570000205189
0.061020629839800,12618373.627199999988079,2642412.835090000182390
0.111796320244000,12618534.405899999663234,2642460.609999999869615
0.055777766646100,12618700.873099999502301,2642512.269510000012815
0.036946513453500,12618864.189899999648333,2642559.742190000135452
0.035003772418600,12619034.976199999451637,2642610.506529999896884
0.046584873940900,12619208.757099999114871,2642664.247919999994338
0.101319786555000,12619336.551899999380112,2642702.608810000121593
0.039162786744400,12619371.929199999198318,2642714.262310000136495
0.040257846532200,12619449.563400000333786,2642737.702450000215322
0.026842120600100,12619434.936000000685453,2642847.122469999827445
0.026406825094600,12619257.270099999383092,2642946.559549999888986
0.026459253552300,12619371.339199999347329,2642982.827550000045449
0.026591150912700,12619435.826600000262260,2643000.749809999950230
0.048952006889000,12607861.293500000610948,2641102.661460000090301
0.037056721032900,12607779.328900000080466,2641210.449070000089705
0.050353835285700,12607738.418999999761581,2641230.898300000000745
0.025439234001800,12607592.267699999734759,2641007.857840000186116
0.028593976787000,12621126.847599999979138,2643082.858440000098199
0.028468610543500,12622085.141400000080466,2642071.710769999772310
0.026728717721300,12621892.558700000867248,2642268.627809999976307
0.025969894147800,12621757.750800000503659,2642439.263749999925494
0.026115498247600,12621639.663100000470877,2642562.126120000146329
0.025758450376900,12621310.480200000107288,2642893.410190000198781
0.030542464640600,12620797.063599999994040,2643470.716889999806881
0.030496851700000,12620780.343399999663234,2643441.902499999850988
0.031300490113700,12620521.169399999082088,2643477.433399999979883
0.034679558394900,12620161.084200000390410,2643528.345819999929518
0.030749039536300,12619883.253000000491738,2643384.273880000226200
0.028292315415900,12619659.022199999541044,2643398.009370000101626
0.027144764573700,12619414.030200000852346,2643409.506039999891073
0.028060583199400,12619432.987999999895692,2643186.617229999974370
0.027845674776800,12619443.585599999874830,2643042.100560000166297
0.026559037451500,12619423.581499999389052,2643015.525700000114739
0.028067956942400,12619411.937400000169873,2643178.400249999947846
0.027252821082500,12619390.742200000211596,2643439.361130000092089
0.028377289887600,12619629.455700000748038,2643426.375909999944270
0.030765131791800,12619904.303500000387430,2643411.890089999884367
0.036733511445600,12619967.900399999693036,2643361.280569999944419
0.031829457053100,12619931.921900000423193,2643596.418899999931455
0.030820222567600,12619921.023700000718236,2643368.299579999875277
0.033353608316000,12620364.865700000897050,2643567.156520000193268
0.030555332167000,12620639.112400000914931,2643526.845189999789000
0.031517291843300,12620509.525399999693036,2643513.412140000145882
0.036572859817000,12620143.317600000649691,2643601.949469999875873
0.033285836373000,12620019.252100000157952,2643615.830370000097901
0.036730488411000,12619988.650299999862909,2643350.086469999980181
0.031901041622400,12619990.743100000545382,2643643.446969999931753
0.033466271958600,12620118.838500000536442,2643642.406210000161082
0.024697094815200,12612274.777300000190735,2641236.730580000206828
0.057593430012900,12612560.378599999472499,2641170.433989999815822
0.072122874438200,12612860.306700000539422,2641003.090450000017881
0.069329483989400,12613095.435799999162555,2640873.052519999910146
0.076928335463500,12613401.931700000539422,2640702.263619999866933
0.047163929572000,12613671.102199999615550,2640654.784260000102222
0.083145134443100,12613967.145300000905991,2640598.508570000063628
0.058011640519300,12614233.777699999511242,2640544.907089999876916
0.045221628593700,12614554.311100000515580,2639064.692840000148863
0.029304391612000,12614734.348099999129772,2639077.831850000191480
